起始节点,关系类型,目标节点
关向应故居纪念馆,位于,大连市金州区向应街道关家村
关向应故居纪念馆,距离,金州站
大连中华工学会旧址纪念馆,位于,大连市沙河口区
大连中华工学会旧址纪念馆,位于,沙河口区黄河路
旅顺万忠墓纪念馆,位于,旅顺口区九三路
旅顺万忠墓纪念馆,距离,旅顺火车站
瓦房店市复州城革命烈士陵园纪念馆,安葬,解放战争时期烈士
庄河市革命烈士陵园纪念馆,设有,烈士纪念碑
庄河市革命烈士陵园纪念馆,临近,庄河公交 1 路烈士陵园站
金州烈士陵园纪念馆,安葬,解放战争时期金州籍烈士
金州烈士陵园纪念馆,安葬,抗美援朝时期金州籍烈士
大连博物馆 “近代大连” 展厅,隶属于,大连博物馆
旅顺日俄监狱旧址博物馆,前身是,沙俄监狱（1902 年建成）
普兰店区革命纪念馆,位于,普兰店市中心
普兰店区革命纪念馆,周边有,停车场（3 个）
长海县革命烈士陵园纪念馆,位于,大长山岛
长海县革命烈士陵园纪念馆,安葬,海岛抗日烈士
旅顺龙王塘水库战斗遗址,曾是,苏联红军解放旅顺战场
大连湾炮台遗址,属于,甲午战争海防工事
庄河仙人洞抗日根据地遗址,曾是,东北抗日联军活动地点
庄河仙人洞抗日根据地遗址,位于,庄河市仙人洞镇
金州南山战役遗址,曾是,日俄战争战场
瓦房店永宁镇抗日遗址群,包含,烽火台
瓦房店永宁镇抗日遗址群,包含,战斗工事
中共旅大地委旧址,曾是,中共旅大地委办公地点（1945 年后）
中共旅大地委旧址,现为,红色教育基地
大连烈士陵园,位于,甘井子区
大连烈士陵园,包含,烈士纪念塔
大连烈士陵园,包含,纪念馆
大连烈士陵园,包含,骨灰堂
旅顺烈士陵园,包含,苏联红军烈士墓
旅顺烈士陵园,设有,纪念塔
普兰店烈士陵园,设有,烈士纪念碑
庄河烈士陵园,临近,庄河公交 5 路终点站
瓦房店烈士陵园,包含,无名烈士墓
大连高新园区烈士陵园,安葬,开发区建设时期烈士
关向应,曾任,红二方面军总政治委员
关向应,曾任,中国共产党早期军事领导人
关向应,就读,苏联莫斯科中山大学（1925 年）
关向应,参与领导,南昌起义
关向应,参与领导,长征
金伯阳,曾任,东北抗日联军创始人
金伯阳,参与领导,大连 “四二七” 大罢工
金伯阳,牺牲于,吉林磐石战斗（1933 年）
金伯阳故居,现为,爱国主义教育基地
金伯阳故居,位于,旅顺口区铁山街道
王永庆,曾任,东北抗日联军第 5 军第 3 师师长
王永庆,参加,抗日救国军（1932 年）
王永庆,袭击,日伪据点（抗联期间）
宋学范,曾任,辽南独立师某团团长
宋学范,参加,八路军（1937 年）
宋学范,牺牲于,四平战役（1947 年）
于庆阳,参与,珍宝岛自卫反击战（1969 年）
赵桂兰,参与组织,工人破坏日军生产（1942 年）
赵桂兰,曾任,大连市妇联主任（新中国成立后）
魏长魁,曾任,东北抗日联军第 9 军政治部主任
魏长魁,牺牲于,黑龙江五常县与日军作战（1938 年）
傅景阳,曾任,大连中华工学会第一任会长
傅景阳,领导成立,大连中华工学会（1923 年）
傅景阳,参与领导,大连 “四二七” 大罢工（1926 年）
傅景阳,被逮捕杀害,日军（1928 年）
陈为人,从事,大连地下党工作
陈为人,负责保管,中央文库重要文件
姜培禄,曾任,八路军山东纵队第 5 支队参谋长
姜培禄,参加,抗日武装（1937 年）
姜培禄,擅长,游击战指挥
张振山,参与,大连 “四二七” 大罢工（1926 年）
张振山,负责,分发传单（1926 年大罢工期间）
张振山,被逮捕,日军（1926 年大罢工后）
李淑珍,经历,旅顺万忠墓事件（1894 年）
李淑珍,捐赠,当年衣物和生活用品（晚年向纪念馆）
王福顺,担任,1945 年旅大解放地方向导
王福顺,带领,苏联红军攻占日军据点（1945 年）
王福顺,曾任,大连市甘井子区区长（1946 年后）
刘长胜,属于,大连中华工学会会员
刘长胜,参与组织,工人罢工（1925 年，反对日本资本家剥削）
刘长胜,从事,上海工人运动（罢工受伤后）
赵玉田,属于,庄河仙人洞抗日根据地村民
赵玉田,提供,粮食和住处（给抗联部队）
赵玉田,被逮捕,日军（1938 年）
孙桂兰,属于,金州南山战役支前模范
孙桂兰,组织,妇女缝制棉衣（为军队）
周明远,讲述,监狱内酷刑和反抗故事（向纪念馆）
郑义,组织,1949 年大连庆祝解放游行
郑义,属于,大连工学院学生（1949 年）
大连 “四二七” 大罢工,领导,大连中华工学会
大连 “四二七” 大罢工,反抗,日本资本家（克扣工资、打骂工人）
大连 “四二七” 大罢工,得到,全国工人支持
大连 “四二七” 大罢工,领导人,傅景阳
大连 “四二七” 大罢工,领导人,金伯阳
旅顺大屠杀,实施,日军（1894 年 11 月 21 日）
旅顺大屠杀,属于,甲午战争惨案
日俄战争金州南山战役,交战双方,日军与俄军
日俄战争金州南山战役,发生地点,金州南山
日俄战争金州南山战役,结果,日军占领南山
日俄战争金州南山战役,战场遗迹,现为爱国主义教育基地
苏联红军进驻旅顺,结束,日本对旅大地区殖民统治（40 年）
中共旅大地委成立,领导,旅大地区政权建设
中共旅大地委成立,领导,旅大地区恢复生产（1945 年旅大解放后）
大连地区抗日救国会,开展,抗日宣传活动
大连地区抗日救国会,被镇压,日军（1932 年）
庄河仙人洞抗日根据地,属于,东北抗日联军辽南重要据点
庄河仙人洞抗日根据地,击退,日军 “扫荡”（多次）
普兰店攻坚战,属于,辽沈战役前奏
普兰店攻坚战,作战方,解放军与国民党守军
普兰店攻坚战,结果,解放军歼灭国民党守军 2000 余人
普兰店攻坚战,作用,为解放大连地区扫清障碍
大连中华工学会,成立,1923 年 12 月 2 日（沙河口）
大连中华工学会,属于,东北地区最早工人组织之一
大连湾抗日武装袭击,目标,日军码头（1938 年）
大连湾抗日武装袭击,烧毁,日军运输船 3 艘
大连湾抗日武装袭击,缴获,步枪 50 余支
大连湾抗日武装袭击,结果,日军加强大连湾戒备、抗日武装转移至山区
大连首届工人代表大会,选举产生,大连总工会（1946 年）
大连反俄运动,响应,全国反俄运动（1905 年）
大连反俄运动,反对,沙俄在大连殖民统治
大连反俄运动,被镇压,沙俄军队（1905 年）
旅顺监狱越狱事件,参与者,12 名抗日志士（1936 年）
旅顺监狱越狱事件,结果,8 人成功逃脱、4 人牺牲
旅顺监狱越狱事件,影响,鼓舞大连地区抗日斗志、日军加强监狱看守
大连庆祝建国游行,组织,中共旅大市委（1949 年 10 月 1 日）
大连庆祝建国游行,起点,中山广场
大连庆祝建国游行,途经,大连主要街道
金伯阳追悼会,举办,大连人民（1928 年，金伯阳牺牲后）
金伯阳追悼会,缅怀,金伯阳革命事迹
关向应的钢笔,陈列于,关向应故居纪念馆
关向应的钢笔,购买于,苏联（关向应学习期间）
“四二七” 大罢工传单,展示于,大连中华工学会旧址纪念馆
“四二七” 大罢工传单,制作于,1926 年
旅顺大屠杀日军军刀,收藏于,旅顺万忠墓纪念馆
旅顺大屠杀日军军刀,属于,1894 年旅顺大屠杀时期日军
旅顺日俄监狱牢房铁门,陈列于,旅顺日俄监狱旧址博物馆
旅顺日俄监狱牢房铁门,位于,监狱旧址东区展厅
抗联步枪,展示于,庄河革命烈士陵园纪念馆
抗联步枪,缴获于,日军（1938 年）
宋学范的日记本,收藏于,金州烈士陵园纪念馆
宋学范的日记本,记录,宋学范参加四平战役经历
苏联红军望远镜,陈列于,大连博物馆 “近代大连” 展厅
苏联红军望远镜,使用于,1945 年旅大解放时期
普兰店攻坚战手榴弹,展示于,普兰店区革命纪念馆
普兰店攻坚战手榴弹,使用于,1947 年普兰店攻坚战
赵桂兰的工具,收藏于,瓦房店革命纪念馆
赵桂兰的工具,使用于,1942 年赵桂兰破坏日军生产
抗日旗帜,陈列于,长海县革命烈士陵园纪念馆
抗日旗帜,制作于,1939 年（当地妇女手工缝制）
傅景阳的会员证,展示于,大连中华工学会旧址纪念馆
傅景阳的会员证,属于,大连中华工学会
苏联红军军帽,收藏于,旅顺烈士陵园纪念馆
苏联红军军帽,属于,1945 年苏联红军牺牲战士
苏联红军军帽,发现于,战场遗址
抗联电台,陈列于,庄河仙人洞抗日根据地遗址纪念馆
抗联电台,使用于,当年抗联时期
日俄战争炮弹壳,展示于,金州南山战役遗址纪念馆
日俄战争炮弹壳,发掘于,南山遗址（2005 年）
日俄战争炮弹壳,属于,日俄战争时期俄军（推测）
1949 年大连庆祝建国游行横幅,陈列于,大连博物馆 “近代大连” 展厅
1949 年大连庆祝建国游行横幅,使用于,1949 年大连庆祝建国游行
大连红色一日游路线,包含,关向应故居纪念馆
大连红色一日游路线,包含,大连中华工学会旧址
大连红色一日游路线,包含,大连烈士陵园
大连红色一日游路线,推荐交通方式,自驾
旅顺红色旅游路线,包含,旅顺万忠墓纪念馆
旅顺红色旅游路线,包含,旅顺日俄监狱旧址博物馆
旅顺红色旅游路线,包含,旅顺烈士陵园
旅顺红色旅游路线,推荐交通方式,旅顺公交 3 路、5 路
金州红色旅游路线,包含,金州烈士陵园
金州红色旅游路线,包含,关向应故居纪念馆
金州红色旅游路线,包含,金州南山战役遗址
庄河红色二日游路线,包含,庄河革命烈士陵园
庄河红色二日游路线,包含,庄河仙人洞抗日根据地遗址
庄河红色二日游路线,推荐住宿,庄河市区酒店
大连近代历史红色路线,包含,大连博物馆 “近代大连” 展厅
大连近代历史红色路线,包含,大连中华工学会旧址
大连近代历史红色路线,包含,旅顺日俄监狱
亲子红色旅游路线,包含,大连烈士陵园
亲子红色旅游路线,包含,大连博物馆
长海县红色旅游路线,包含,大长山岛长海县烈士陵园
长海县红色旅游路线,包含,海岛抗日纪念馆
长海县红色旅游路线,推荐交通方式,大连港轮渡（至大长山岛）
长海县大长山岛,推荐交通方式,租电动车游览
大连工人运动红色路线,包含,大连中华工学会旧址
大连工人运动红色路线,包含,傅景阳故居
大连工人运动红色路线,推荐交通方式,步行、骑行
抗联主题红色路线,包含,庄河仙人洞抗日根据地
抗联主题红色路线,包含,瓦房店永宁镇抗日遗址
抗联主题红色路线,包含,金州烈士陵园
